algorithm,iteration,params,fitness
PSO,3,"{""num_samples"": 769, ""num_features"": 6, ""kernel_width"": 0.7214506527689726}",0.13325132170793344
PSO,3,"{""num_samples"": 800, ""num_features"": 4, ""kernel_width"": 0.75}",0.09467860116251503
PSO,3,"{""num_samples"": 728, ""num_features"": 5, ""kernel_width"": 0.7087162296925682}",0.10510595989603612
PSO,3,"{""num_samples"": 800, ""num_features"": 7, ""kernel_width"": 0.75}",0.1118915181449942
PSO,4,"{""num_samples"": 800, ""num_features"": 4, ""kernel_width"": 0.662754220939208}",0.1914044984140827
PSO,4,"{""num_samples"": 761, ""num_features"": 5, ""kernel_width"": 0.5155968537604512}",0.08275115626385154
PSO,4,"{""num_samples"": 800, ""num_features"": 3, ""kernel_width"": 0.75}",0.14877824595220576
PSO,4,"{""num_samples"": 800, ""num_features"": 7, ""kernel_width"": 0.6651935778913601}",0.08124173775911994
PSO,4,"{""num_samples"": 800, ""num_features"": 6, ""kernel_width"": 0.75}",0.1575270208761616
PSO,4,"{""num_samples"": 800, ""num_features"": 5, ""kernel_width"": 0.6936490879552584}",0.1547663640169208
PSO,4,"{""num_samples"": 779, ""num_features"": 7, ""kernel_width"": 0.6485831531957704}",0.09143839837615536
PSO,4,"{""num_samples"": 800, ""num_features"": 5, ""kernel_width"": 0.6813237341669791}",0.1570267812033948
PSO,4,"{""num_samples"": 800, ""num_features"": 5, ""kernel_width"": 0.75}",0.15573539711089684
PSO,4,"{""num_samples"": 800, ""num_features"": 8, ""kernel_width"": 0.5865538191794266}",0.07693777805478078
PSO,4,"{""num_samples"": 780, ""num_features"": 5, ""kernel_width"": 0.7268685875887709}",0.1451649759725533
PSO,4,"{""num_samples"": 769, ""num_features"": 6, ""kernel_width"": 0.6187493579423512}",0.12149857962060619
PSO,4,"{""num_samples"": 800, ""num_features"": 5, ""kernel_width"": 0.6514707411636501}",0.12438324385953092
PSO,4,"{""num_samples"": 745, ""num_features"": 6, ""kernel_width"": 0.75}",0.13399984634436204
PSO,4,"{""num_samples"": 800, ""num_features"": 6, ""kernel_width"": 0.7114028390534393}",0.10977318448153682
PSO,5,"{""num_samples"": 800, ""num_features"": 3, ""kernel_width"": 0.6943903589171084}",0.1360131786515756
PSO,5,"{""num_samples"": 758, ""num_features"": 3, ""kernel_width"": 0.5558885264149037}",0.12389011152284364
PSO,5,"{""num_samples"": 800, ""num_features"": 3, ""kernel_width"": 0.75}",0.0776762892209664
PSO,5,"{""num_samples"": 800, ""num_features"": 4, ""kernel_width"": 0.6827893616084753}",0.1009200591551803
PSO,5,"{""num_samples"": 800, ""num_features"": 6, ""kernel_width"": 0.75}",0.1942840931281285
PSO,5,"{""num_samples"": 800, ""num_features"": 3, ""kernel_width"": 0.7177726540835551}",0.11652810632224865
PSO,5,"{""num_samples"": 797, ""num_features"": 6, ""kernel_width"": 0.6640929134805473}",0.13585047435099581
PSO,5,"{""num_samples"": 800, ""num_features"": 5, ""kernel_width"": 0.6555710616907425}",0.10582124362359152
PSO,5,"{""num_samples"": 800, ""num_features"": 4, ""kernel_width"": 0.75}",0.12046560676617521
PSO,5,"{""num_samples"": 800, ""num_features"": 3, ""kernel_width"": 0.6301192292355651}",0.09745692690890627
PSO,5,"{""num_samples"": 784, ""num_features"": 4, ""kernel_width"": 0.7058406477584175}",0.10187253389833875
PSO,5,"{""num_samples"": 785, ""num_features"": 3, ""kernel_width"": 0.5730091574327066}",0.12437200591853342
PSO,5,"{""num_samples"": 800, ""num_features"": 6, ""kernel_width"": 0.5039271503438508}",0.08029510300946396
PSO,5,"{""num_samples"": 800, ""num_features"": 5, ""kernel_width"": 0.6835547695167107}",0.1549200168280066
PSO,5,"{""num_samples"": 800, ""num_features"": 5, ""kernel_width"": 0.6819891313211525}",0.1325975427658886
PSO,6,"{""num_samples"": 800, ""num_features"": 4, ""kernel_width"": 0.75}",0.15797136400172085
PSO,6,"{""num_samples"": 800, ""num_features"": 3, ""kernel_width"": 0.6749244178805209}",0.13890304116358676
PSO,6,"{""num_samples"": 800, ""num_features"": 6, ""kernel_width"": 0.75}",0.129382700639873
PSO,6,"{""num_samples"": 800, ""num_features"": 7, ""kernel_width"": 0.6577352435924875}",0.06659599216959597
PSO,6,"{""num_samples"": 800, ""num_features"": 6, ""kernel_width"": 0.75}",0.1200796457730865
PSO,6,"{""num_samples"": 800, ""num_features"": 5, ""kernel_width"": 0.7306175483644509}",0.16236551470734834
PSO,6,"{""num_samples"": 790, ""num_features"": 5, ""kernel_width"": 0.6891427902543897}",0.14297465662681907
PSO,6,"{""num_samples"": 800, ""num_features"": 5, ""kernel_width"": 0.7037994675175867}",0.1197041151135932
PSO,6,"{""num_samples"": 800, ""num_features"": 6, ""kernel_width"": 0.75}",0.1582464350294882
PSO,6,"{""num_samples"": 800, ""num_features"": 3, ""kernel_width"": 0.6825333648646803}",0.14209407581014094
PSO,6,"{""num_samples"": 790, ""num_features"": 7, ""kernel_width"": 0.700507528316411}",0.052311468724500806
PSO,6,"{""num_samples"": 789, ""num_features"": 6, ""kernel_width"": 0.7293867972096951}",0.14060668107208762
PSO,6,"{""num_samples"": 762, ""num_features"": 6, ""kernel_width"": 0.6658037709483156}",0.12570342338925908
PSO,6,"{""num_samples"": 800, ""num_features"": 5, ""kernel_width"": 0.7113888862055414}",0.14206036454496765
PSO,6,"{""num_samples"": 800, ""num_features"": 5, ""kernel_width"": 0.6810462735458613}",0.1451887267959983
PSO,7,"{""num_samples"": 800, ""num_features"": 5, ""kernel_width"": 0.75}",0.15696023491590663
PSO,7,"{""num_samples"": 800, ""num_features"": 4, ""kernel_width"": 0.75}",0.1820276565468508
PSO,7,"{""num_samples"": 800, ""num_features"": 8, ""kernel_width"": 0.75}",0.1169769582866203
PSO,7,"{""num_samples"": 800, ""num_features"": 7, ""kernel_width"": 0.7388956568774734}",0.135825911938139
PSO,7,"{""num_samples"": 800, ""num_features"": 6, ""kernel_width"": 0.75}",0.18709874044568395
PSO,7,"{""num_samples"": 800, ""num_features"": 6, ""kernel_width"": 0.7411675872956304}",0.1224718198002489
PSO,7,"{""num_samples"": 791, ""num_features"": 6, ""kernel_width"": 0.75}",0.1283229462470222
PSO,7,"{""num_samples"": 800, ""num_features"": 6, ""kernel_width"": 0.75}",0.17524277880169115
PSO,7,"{""num_samples"": 800, ""num_features"": 7, ""kernel_width"": 0.75}",0.08378617896109491
PSO,7,"{""num_samples"": 800, ""num_features"": 6, ""kernel_width"": 0.7368131826748332}",0.1607738809873066
PSO,7,"{""num_samples"": 793, ""num_features"": 7, ""kernel_width"": 0.7254756962559469}",0.09576969634232323
PSO,7,"{""num_samples"": 793, ""num_features"": 8, ""kernel_width"": 0.6526442538897431}",0.09916825382008017
PSO,7,"{""num_samples"": 764, ""num_features"": 6, ""kernel_width"": 0.75}",0.15536764235297462
PSO,7,"{""num_samples"": 800, ""num_features"": 5, ""kernel_width"": 0.75}",0.15090583953047287
PSO,7,"{""num_samples"": 800, ""num_features"": 6, ""kernel_width"": 0.75}",0.133947846089549
PSO,8,"{""num_samples"": 800, ""num_features"": 6, ""kernel_width"": 0.7009395704427855}",0.20025803781865503
PSO,8,"{""num_samples"": 800, ""num_features"": 7, ""kernel_width"": 0.75}",0.10509305392787507
PSO,8,"{""num_samples"": 800, ""num_features"": 7, ""kernel_width"": 0.75}",0.09552904158403756
PSO,8,"{""num_samples"": 800, ""num_features"": 6, ""kernel_width"": 0.6980616505017236}",0.11509108805052955
PSO,8,"{""num_samples"": 800, ""num_features"": 6, ""kernel_width"": 0.75}",0.15372351801883571
