iteration,best_score
0,-0.1585301198065281
1,-0.1585301198065281
2,-0.1585301198065281
3,-0.1585301198065281
4,-0.1585301198065281
5,-0.1585301198065281
6,-0.1585301198065281
7,-0.1585301198065281
8,-0.15832385420799255
9,-0.1580435447394848
10,-0.1580435447394848
11,-0.1580435447394848
12,-0.15789007768034935
13,-0.15789007768034935
14,-0.15789007768034935
15,-0.15789007768034935
16,-0.15789007768034935
17,-0.15789007768034935
18,-0.15789007768034935
19,-0.15789007768034935
20,-0.15789007768034935
21,-0.15789007768034935
22,-0.15789007768034935
23,-0.15789007768034935
24,-0.15789007768034935
25,-0.15789007768034935
26,-0.15789007768034935
27,-0.15789007768034935
28,-0.15789007768034935
29,-0.15755824372172356
30,-0.15755824372172356
