algorithm,iteration,model_params,val_accuracy
Tabu,10,"{""hidden_dim"": 256, ""dropout"": 0.548973216434103, ""lr"": 0.0021733759069843457}",0.809
Tabu,10,"{""hidden_dim"": 64, ""dropout"": 0.5715653972008707, ""lr"": 0.0038007994635154466}",0.764
Tabu,11,"{""hidden_dim"": 256, ""dropout"": 0.28046042535587834, ""lr"": 0.0016274098273743852}",0.805
Tabu,11,"{""hidden_dim"": 256, ""dropout"": 0.4599512230557814, ""lr"": 0.0022466904111810696}",0.821
Tabu,11,"{""hidden_dim"": 256, ""dropout"": 0.38059445655645185, ""lr"": 0.001314737506963439}",0.746
Tabu,11,"{""hidden_dim"": 64, ""dropout"": 0.33523422485898213, ""lr"": 0.002982712720440443}",0.772
Tabu,11,"{""hidden_dim"": 64, ""dropout"": 0.4353760457641404, ""lr"": 0.00013523511102695834}",0.599
Tabu,12,"{""hidden_dim"": 256, ""dropout"": 0.45244118290803953, ""lr"": 0.0012218147406746565}",0.742
Tabu,12,"{""hidden_dim"": 64, ""dropout"": 0.5438541601014986, ""lr"": 0.00044720101445440186}",0.754
Tabu,12,"{""hidden_dim"": 64, ""dropout"": 0.3113909055858188, ""lr"": 0.002478531045837404}",0.747
Tabu,12,"{""hidden_dim"": 256, ""dropout"": 0.25292473949001, ""lr"": 0.004684019778845288}",0.764
Tabu,12,"{""hidden_dim"": 256, ""dropout"": 0.43048465988835993, ""lr"": 0.0012906864877390502}",0.778
Tabu,13,"{""hidden_dim"": 128, ""dropout"": 0.5229987991066574, ""lr"": 0.0010330085803732006}",0.759
Tabu,13,"{""hidden_dim"": 64, ""dropout"": 0.4635930998058652, ""lr"": 0.0018360580762888136}",0.757
Tabu,13,"{""hidden_dim"": 128, ""dropout"": 0.38680986721467, ""lr"": 0.003672471662353268}",0.799
Tabu,13,"{""hidden_dim"": 256, ""dropout"": 0.46138219530631663, ""lr"": 0.003266280781345423}",0.782
Tabu,13,"{""hidden_dim"": 64, ""dropout"": 0.3610485128409075, ""lr"": 0.0017625827664353195}",0.755
Tabu,14,"{""hidden_dim"": 64, ""dropout"": 0.29946253356811425, ""lr"": 0.0010320236513599763}",0.763
Tabu,14,"{""hidden_dim"": 128, ""dropout"": 0.2560729188379098, ""lr"": 0.000999091375357443}",0.741
Tabu,14,"{""hidden_dim"": 128, ""dropout"": 0.2999225791528402, ""lr"": 0.004624001436452463}",0.84
Tabu,14,"{""hidden_dim"": 128, ""dropout"": 0.523208897892681, ""lr"": 0.004294237773095027}",0.805
Tabu,14,"{""hidden_dim"": 64, ""dropout"": 0.2202353318099525, ""lr"": 0.00499648409522236}",0.785
SA,0,"{""hidden_dim"": 64, ""dropout"": 0.26652444424156563, ""lr"": 0.00247964151470852}",0.754
SA,1,"{""hidden_dim"": 128, ""dropout"": 0.5609771462042195, ""lr"": 0.0009067218948674816}",0.749
SA,2,"{""hidden_dim"": 128, ""dropout"": 0.3060812232688608, ""lr"": 0.00394194594954799}",0.827
SA,3,"{""hidden_dim"": 128, ""dropout"": 0.3140996915787681, ""lr"": 0.003513298367640796}",0.776
SA,4,"{""hidden_dim"": 256, ""dropout"": 0.4647485247802981, ""lr"": 0.0024846899171062143}",0.783
SA,5,"{""hidden_dim"": 64, ""dropout"": 0.3186831301978257, ""lr"": 0.004846675888348879}",0.775
SA,6,"{""hidden_dim"": 256, ""dropout"": 0.22438302859060633, ""lr"": 0.0016366635678716733}",0.791
SA,7,"{""hidden_dim"": 64, ""dropout"": 0.4336710377835885, ""lr"": 0.002563966876305616}",0.754
SA,8,"{""hidden_dim"": 64, ""dropout"": 0.22275183189147382, ""lr"": 0.0025883596352677504}",0.796
SA,9,"{""hidden_dim"": 64, ""dropout"": 0.22740853308151696, ""lr"": 0.00043300823054121044}",0.784
SA,10,"{""hidden_dim"": 128, ""dropout"": 0.2479546455788497, ""lr"": 0.0044624078392342436}",0.801
SA,11,"{""hidden_dim"": 64, ""dropout"": 0.4315676230028842, ""lr"": 0.00029473414521641555}",0.751
SA,12,"{""hidden_dim"": 256, ""dropout"": 0.4334689157164899, ""lr"": 0.0026616353061065983}",0.852
SA,13,"{""hidden_dim"": 128, ""dropout"": 0.28170367976941457, ""lr"": 0.003609339823868132}",0.764
SA,14,"{""hidden_dim"": 128, ""dropout"": 0.25235131285098256, ""lr"": 0.0032629538653044824}",0.794
SA,15,"{""hidden_dim"": 128, ""dropout"": 0.3264708785087416, ""lr"": 0.00378413601283057}",0.818
SA,16,"{""hidden_dim"": 64, ""dropout"": 0.20372618275369858, ""lr"": 0.0031436803519161545}",0.776
SA,17,"{""hidden_dim"": 64, ""dropout"": 0.2293042884398532, ""lr"": 0.001144456130108498}",0.753
SA,18,"{""hidden_dim"": 128, ""dropout"": 0.5523456694745759, ""lr"": 0.004408424188174259}",0.785
SA,19,"{""hidden_dim"": 128, ""dropout"": 0.3139949564866627, ""lr"": 0.002247104407737778}",0.794
SA,20,"{""hidden_dim"": 256, ""dropout"": 0.48141597003494835, ""lr"": 0.0030972210520571553}",0.827
SA,21,"{""hidden_dim"": 256, ""dropout"": 0.41157627704090805, ""lr"": 0.003372529698191659}",0.849
SA,22,"{""hidden_dim"": 256, ""dropout"": 0.31975150087999116, ""lr"": 0.0033506047033337785}",0.806
SA,23,"{""hidden_dim"": 64, ""dropout"": 0.3057863685948511, ""lr"": 0.0044595922643279745}",0.806
SA,24,"{""hidden_dim"": 64, ""dropout"": 0.30893928492592654, ""lr"": 0.003063666152448097}",0.828
SA,25,"{""hidden_dim"": 64, ""dropout"": 0.4749988515205322, ""lr"": 0.004279272795420297}",0.812
SA,26,"{""hidden_dim"": 128, ""dropout"": 0.5621345964317292, ""lr"": 0.0042459081951447914}",0.786
SA,27,"{""hidden_dim"": 128, ""dropout"": 0.5317392357488877, ""lr"": 0.0003160251328153451}",0.717
SA,28,"{""hidden_dim"": 64, ""dropout"": 0.45484535092055184, ""lr"": 0.001383580785928306}",0.736
SA,29,"{""hidden_dim"": 256, ""dropout"": 0.48226697870399626, ""lr"": 0.002848443637396257}",0.809
PSO,0,"{""hidden_dim"": 64, ""dropout"": 0.23009754402950683, ""lr"": 0.0044272213271707005}",0.786
PSO,0,"{""hidden_dim"": 64, ""dropout"": 0.4182361156822089, ""lr"": 0.004189515597441482}",0.737
PSO,0,"{""hidden_dim"": 256, ""dropout"": 0.421010038697999, ""lr"": 0.0022059548931157814}",0.841
PSO,0,"{""hidden_dim"": 64, ""dropout"": 0.32330333997205346, ""lr"": 0.004505009294838691}",0.777
PSO,0,"{""hidden_dim"": 64, ""dropout"": 0.5595698546105898, ""lr"": 0.0011293750378647948}",0.751
PSO,0,"{""hidden_dim"": 64, ""dropout"": 0.46677336425421717, ""lr"": 0.0018330253096116298}",0.77
PSO,1,"{""hidden_dim"": 256, ""dropout"": 0.44472450469189967, ""lr"": 0.0036384362925175272}",0.845
PSO,1,"{""hidden_dim"": 256, ""dropout"": 0.4199516251134519, ""lr"": 0.0014388505917072585}",0.741
PSO,1,"{""hidden_dim"": 256, ""dropout"": 0.421010038697999, ""lr"": 0.0022059548931157814}",0.814
PSO,1,"{""hidden_dim"": 174, ""dropout"": 0.39228769209739023, ""lr"": 0.0013376529654000229}",0.753
PSO,1,"{""hidden_dim"": 256, ""dropout"": 0.5132374861154618, ""lr"": 0.001772845706153371}",0.799
PSO,1,"{""hidden_dim"": 83, ""dropout"": 0.4426689423196875, ""lr"": 0.0022131439229070566}",0.771
PSO,2,"{""hidden_dim"": 256, ""dropout"": 0.5520379850230961, ""lr"": 0.0032440437751909404}",0.817
PSO,2,"{""hidden_dim"": 256, ""dropout"": 0.4336548776132711, ""lr"": 0.0015033467091644158}",0.782
PSO,2,"{""hidden_dim"": 256, ""dropout"": 0.42777146364914453, ""lr"": 0.003142921313053662}",0.843
PSO,2,"{""hidden_dim"": 242, ""dropout"": 0.42966287678694753, ""lr"": 0.003935669015788332}",0.802
PSO,2,"{""hidden_dim"": 256, ""dropout"": 0.42602994932942195, ""lr"": 0.002443330763886818}",0.781
PSO,2,"{""hidden_dim"": 224, ""dropout"": 0.4316224653109483, ""lr"": 0.003588503040607745}",0.807
PSO,3,"{""hidden_dim"": 256, ""dropout"": 0.42423624121991144, ""lr"": 0.0034864764206214618}",0.772
PSO,3,"{""hidden_dim"": 256, ""dropout"": 0.4439964697732343, ""lr"": 0.0034785099675209655}",0.813
PSO,3,"{""hidden_dim"": 256, ""dropout"": 0.4441511067482234, ""lr"": 0.004324821226413243}",0.807
PSO,3,"{""hidden_dim"": 256, ""dropout"": 0.46334854833027755, ""lr"": 0.005}",0.821
PSO,3,"{""hidden_dim"": 256, ""dropout"": 0.4456500582427689, ""lr"": 0.0027132207529149827}",0.812
PSO,3,"{""hidden_dim"": 256, ""dropout"": 0.43504954766583553, ""lr"": 0.004319300279514094}",0.84
PSO,4,"{""hidden_dim"": 256, ""dropout"": 0.37715287994496177, ""lr"": 0.003967901973300356}",0.788
PSO,4,"{""hidden_dim"": 256, ""dropout"": 0.4494062518370756, ""lr"": 0.004633033516083438}",0.854
PSO,4,"{""hidden_dim"": 256, ""dropout"": 0.4299035613682665, ""lr"": 0.0042009947903521114}",0.798
PSO,4,"{""hidden_dim"": 256, ""dropout"": 0.4590926702864201, ""lr"": 0.003964160791131953}",0.828
PSO,4,"{""hidden_dim"": 256, ""dropout"": 0.4548410373088846, ""lr"": 0.004043768464159015}",0.812
PSO,4,"{""hidden_dim"": 256, ""dropout"": 0.4407875519798486, ""lr"": 0.0041897819132736104}",0.805
PSO,5,"{""hidden_dim"": 256, ""dropout"": 0.4513487054000822, ""lr"": 0.004933609866262307}",0.84
PSO,5,"{""hidden_dim"": 256, ""dropout"": 0.45211114286899623, ""lr"": 0.005}",0.808
PSO,5,"{""hidden_dim"": 256, ""dropout"": 0.4469460818137939, ""lr"": 0.004019811320879389}",0.811
PSO,5,"{""hidden_dim"": 256, ""dropout"": 0.4486001648698153, ""lr"": 0.004392102458697766}",0.8
PSO,5,"{""hidden_dim"": 256, ""dropout"": 0.44033092966423076, ""lr"": 0.004284191370149212}",0.801
PSO,5,"{""hidden_dim"": 256, ""dropout"": 0.44298288116302686, ""lr"": 0.004477914434479688}",0.823
WOA,0,"{""hidden_dim"": 128, ""dropout"": 0.4677835378479643, ""lr"": 0.0028634509514570933}",0.795
WOA,0,"{""hidden_dim"": 64, ""dropout"": 0.38601359337408825, ""lr"": 0.0013555941131547142}",0.74
WOA,0,"{""hidden_dim"": 128, ""dropout"": 0.2671156573471209, ""lr"": 0.003075512720065565}",0.797
WOA,0,"{""hidden_dim"": 256, ""dropout"": 0.4873428914384033, ""lr"": 0.00391118024225962}",0.775
WOA,0,"{""hidden_dim"": 64, ""dropout"": 0.5858883092136351, ""lr"": 0.0006296838733222723}",0.747
WOA,0,"{""hidden_dim"": 64, ""dropout"": 0.5715548673628486, ""lr"": 0.002921403969220829}",0.776
WOA,1,"{""hidden_dim"": 128, ""dropout"": 0.2671156573471209, ""lr"": 0.003075512720065565}",0.76
WOA,1,"{""hidden_dim"": 128, ""dropout"": 0.2671156573471209, ""lr"": 0.003075512720065565}",0.831
WOA,1,"{""hidden_dim"": 128, ""dropout"": 0.2671156573471209, ""lr"": 0.003075512720065565}",0.842
WOA,1,"{""hidden_dim"": 128, ""dropout"": 0.2671156573471209, ""lr"": 0.003075512720065565}",0.767
WOA,1,"{""hidden_dim"": 128, ""dropout"": 0.2671156573471209, ""lr"": 0.003075512720065565}",0.782
WOA,1,"{""hidden_dim"": 128, ""dropout"": 0.2671156573471209, ""lr"": 0.003075512720065565}",0.811
WOA,2,"{""hidden_dim"": 128, ""dropout"": 0.2671156573471209, ""lr"": 0.003075512720065565}",0.792
WOA,2,"{""hidden_dim"": 128, ""dropout"": 0.2671156573471209, ""lr"": 0.003075512720065565}",0.791
WOA,2,"{""hidden_dim"": 128, ""dropout"": 0.2671156573471209, ""lr"": 0.003075512720065565}",0.779
WOA,2,"{""hidden_dim"": 128, ""dropout"": 0.2671156573471209, ""lr"": 0.003075512720065565}",0.8
WOA,2,"{""hidden_dim"": 128, ""dropout"": 0.2671156573471209, ""lr"": 0.003075512720065565}",0.798
WOA,2,"{""hidden_dim"": 128, ""dropout"": 0.2671156573471209, ""lr"": 0.003075512720065565}",0.77
WOA,3,"{""hidden_dim"": 128, ""dropout"": 0.2671156573471209, ""lr"": 0.003075512720065565}",0.75
WOA,3,"{""hidden_dim"": 128, ""dropout"": 0.2671156573471209, ""lr"": 0.003075512720065565}",0.798
WOA,3,"{""hidden_dim"": 128, ""dropout"": 0.2671156573471209, ""lr"": 0.003075512720065565}",0.809
WOA,3,"{""hidden_dim"": 128, ""dropout"": 0.2671156573471209, ""lr"": 0.003075512720065565}",0.782
WOA,3,"{""hidden_dim"": 128, ""dropout"": 0.2671156573471209, ""lr"": 0.003075512720065565}",0.782
WOA,3,"{""hidden_dim"": 128, ""dropout"": 0.2671156573471209, ""lr"": 0.003075512720065565}",0.801
WOA,4,"{""hidden_dim"": 128, ""dropout"": 0.2671156573471209, ""lr"": 0.003075512720065565}",0.79
