algorithm,best_params,best_fitness,runtime_sec
PSO,"{""num_samples"": 514, ""num_features"": 6, ""kernel_width"": 0.15213264984476882}",0.5113896584059341,967.963048696518
GWO,"{""num_samples"": 879, ""num_features"": 4, ""kernel_width"": 0.7477788367125552}",0.469795024177187,1900.5427033901215
Cuckoo,"{""num_samples"": 424, ""num_features"": 5, ""kernel_width"": 0.8236988705558287}",0.48340582452812225,163.38414978981018
Bat,"{""num_samples"": 354, ""num_features"": 6, ""kernel_width"": 0.4447317631882044}",0.5161839567643418,799.8255624771118
